group, stage          , team1                 , team2                 , venue                  , city           , country, date      , kickoff_et, team1_confederation, team1_fifa_rank, team1_coach        , team2_confederation, team2_fifa_rank, team2_coach        , team1_normalized      , team2_normalized      , team1_elo, team2_elo, team1_elo_rank, team2_elo_rank, team1_last5_wins, team2_last5_wins, team1_last5_draws, team2_last5_draws, team1_last5_losses, team2_last5_losses, team1_last5_goals_for, team2_last5_goals_for, team1_last5_goals_against, team2_last5_goals_against, team1_last5_goal_difference, team2_last5_goal_difference, elo_diff, elo_rank_diff, last5_goal_diff_difference, last5_win_difference
C    , Group Stage    , Brazil                , Scotland              , MetLife Stadium        , East Rutherford, USA    , 2026-06-19, 21:00 ET  , CONMEBOL           ,             6.0, Dorival Júnior     , UEFA               ,            47.0, Steve Clarke       , Brazil                , Scotland              ,    1984.0,    1767.0,            5.0,           29.0,              3.0,              3.0,               1.0,               0.0,                1.0,                2.0,                  13.0,                   9.0,                       7.0,                       3.0, 6.0                        , 6.0                        , 217.0   , -24.0        , 0.0                       , 0.0
E    , Group Stage    , Germany               , Ivory Coast           , NRG Stadium            , Houston        , USA    , 2026-06-20, 19:00 ET  , UEFA               ,            10.0, Julian Nagelsmann  , CAF                ,            33.0, Emerse Faé         , Germany               , Ivory Coast           ,    1923.0,    1676.0,           11.0,           52.0,              5.0,              4.0,               0.0,               0.0,                0.0,                1.0,                  19.0,                  10.0,                       6.0,                       4.0, 13.0                       , 6.0                        , 247.0   , -41.0        , 7.0                       , 1.0
F    , Group Stage    , Netherlands           , Sweden                , NRG Stadium            , Houston        , USA    , 2026-06-20, 19:00 ET  , UEFA               ,             7.0, Ronald Koeman      , UEFA               ,            39.0, Jon Dahl Tomasson  , Netherlands           , Sweden                ,    1961.0,    1719.0,            8.0,           43.0,              2.0,              3.0,               2.0,               1.0,                1.0,                1.0,                   7.0,                  14.0,                       6.0,                       9.0, 1.0                        , 5.0                        , 242.0   , -35.0        , -4.0                      , -1.0
F    , Group Stage    , Tunisia               , Japan                 , Estadio BBVA           , Monterrey      , Mexico , 2026-06-20, 14:00 ET  , CAF                ,            40.0, Faouzi Benzarti    , AFC                ,            18.0, Hajime Moriyasu    , Tunisia               , Japan                 ,    1636.0,    1904.0,           58.0,           13.0,              1.0,              4.0,               1.0,               1.0,                3.0,                0.0,                   2.0,                   8.0,                      11.0,                       2.0, -9.0                       , 6.0                        , -268.0  , 45.0         , -15.0                     , -3.0
D    , Group Stage    , Türkiye               , Paraguay              , MetLife Stadium        , East Rutherford, USA    , 2026-06-20, 00:00 ET  , UEFA               ,            42.0, Vincenzo Montella  , CONMEBOL           ,            64.0, Gustavo Alfaro     , Turkey                , Paraguay              ,    1902.0,    1833.0,           14.0,           22.0,              4.0,              3.0,               0.0,               0.0,                1.0,                2.0,                   8.0,                   9.0,                       3.0,                       7.0, 5.0                        , 2.0                        , 69.0    , -8.0         , 3.0                       , 1.0
E    , Group Stage    , Ecuador               , Curaçao               , Mercedes-Benz Stadium  , Atlanta        , USA    , 2026-06-20, 22:00 ET  , CONMEBOL           ,            24.0, Sebastián Beccacece, CONCACAF           ,            81.0, Dick Advocaat      , Ecuador               , Curaçao               ,    1933.0,    1436.0,            9.0,           90.0,              2.0,              1.0,               2.0,               0.0,                1.0,                4.0,                   7.0,                   7.0,                       4.0,                      18.0, 3.0                        , -11.0                      , 497.0   , -81.0        , 14.0                      , 1.0
H    , Group Stage    , Uruguay               , Cape Verde            , Hard Rock Stadium      , Miami          , USA    , 2026-06-21, 18:00 ET  , CONMEBOL           ,            17.0, Marcelo Bielsa     , CAF                ,            70.0, Pedro Brito        , Uruguay               , Cape Verde            ,    1892.0,    1549.0,           15.0,           72.0,              0.0,              1.0,               4.0,               2.0,                1.0,                2.0,                   3.0,                   6.0,                       7.0,                       8.0, -4.0                       , -2.0                       , 343.0   , -57.0        , -2.0                      , -1.0
H    , Group Stage    , Spain                 , Saudi Arabia          , Estadio Akron          , Guadalajara    , Mexico , 2026-06-21, 21:00 ET  , UEFA               ,             2.0, Luis de la Fuente  , AFC                ,            57.0, Roberto Mancini    , Spain                 , Saudi Arabia          ,    2165.0,    1568.0,            1.0,           71.0,              2.0,              1.0,               3.0,               2.0,                0.0,                2.0,                   7.0,                   6.0,                       2.0,                       5.0, 5.0                        , 1.0                        , 597.0   , -70.0        , 4.0                       , 1.0
G    , Group Stage    , Belgium               , Iran                  , SoFi Stadium           , Inglewood      , USA    , 2026-06-21, 18:00 ET  , UEFA               ,             9.0, Domenico Tedesco   , AFC                ,            21.0, Amir Ghalenoei     , Belgium               , Iran                  ,    1867.0,    1760.0,           19.0,           31.0,              3.0,              3.0,               2.0,               1.0,                0.0,                1.0,                  14.0,                  13.0,                       4.0,                       5.0, 10.0                       , 8.0                        , 107.0   , -12.0        , 2.0                       , 0.0
G    , Group Stage    , New Zealand           , Egypt                 , Lumen Field            , Seattle        , USA    , 2026-06-21, 15:00 ET  , OFC                ,            95.0, Darren Bazeley     , CAF                ,            29.0, Hossam El-Badry    , New Zealand           , Egypt                 ,    1585.0,    1689.0,           68.0,           51.0,              1.0,              2.0,               1.0,               2.0,                3.0,                1.0,                   6.0,                   7.0,                      10.0,                       3.0, -4.0                       , 4.0                        , -104.0  , 17.0         , -8.0                      , -1.0
I    , Group Stage    , France                , Iraq                  , Lincoln Financial Field, Philadelphia   , USA    , 2026-06-22, 17:00 ET  , UEFA               ,             1.0, Didier Deschamps   , AFC                ,            61.0, Graham Arnold      , France                , Iraq                  ,    2081.0,    1607.0,            3.0,           63.0,              4.0,              2.0,               0.0,               1.0,                1.0,                2.0,                  12.0,                   5.0,                       6.0,                       8.0, 6.0                        , -3.0                       , 474.0   , -60.0        , 9.0                       , 2.0
J    , Group Stage    , Argentina             , Austria               , AT&T Stadium           , Arlington      , USA    , 2026-06-22, 13:00 ET  , CONMEBOL           ,             3.0, Lionel Scaloni     , UEFA               ,            23.0, Ralf Rangnick      , Argentina             , Austria               ,    2113.0,    1827.0,            2.0,           23.0,              5.0,              4.0,               0.0,               1.0,                0.0,                0.0,                  15.0,                  11.0,                       1.0,                       3.0, 14.0                       , 8.0                        , 286.0   , -21.0        , 6.0                       , 1.0
I    , Group Stage    , Norway                , Senegal               , Gillette Stadium       , Foxborough     , USA    , 2026-06-22, 20:00 ET  , UEFA               ,            44.0, Ståle Solbakken    , CAF                ,            14.0, Aliou Cissé        , Norway                , Senegal               ,    1912.0,    1878.0,           12.0,           17.0,              2.0,              2.0,               2.0,               1.0,                1.0,                2.0,                   9.0,                   8.0,                       5.0,                       7.0, 4.0                        , 1.0                        , 34.0    , -5.0         , 3.0                       , 0.0
J    , Group Stage    , Jordan                , Algeria               , AT&T Stadium           , Arlington      , USA    , 2026-06-23, 23:00 ET  , AFC                ,            68.0, Hussain Ammouta    , CAF                ,            36.0, Vladimir Petkovic  , Jordan                , Algeria               ,    1690.0,    1743.0,           50.0,           35.0,              0.0,              3.0,               2.0,               1.0,                3.0,                1.0,                   6.0,                  12.0,                      13.0,                       3.0, -7.0                       , 9.0                        , -53.0   , 15.0         , -16.0                     , -3.0
L    , Group Stage    , Croatia               , Panama                , BMO Field              , Toronto        , Canada , 2026-06-23, 21:00 ET  , UEFA               ,            11.0, Zlatko Dalić       , CONCACAF           ,            53.0, Thomas Christiansen, Croatia               , Panama                ,    1930.0,    1737.0,           10.0,           36.0,              2.0,              2.0,               0.0,               1.0,                3.0,                2.0,                   7.0,                   9.0,                      11.0,                      11.0, -4.0                       , -2.0                       , 193.0   , -26.0        , -2.0                      , 0.0
L    , Group Stage    , England               , Ghana                 , Gillette Stadium       , Foxborough     , USA    , 2026-06-23, 19:00 ET  , UEFA               ,             4.0, Thomas Tuchel      , CAF                ,            65.0, Otto Addo          , England               , Ghana                 ,    2020.0,    1503.0,            4.0,           82.0,              3.0,              1.0,               1.0,               1.0,                1.0,                3.0,                   9.0,                   4.0,                       4.0,                      10.0, 5.0                        , -6.0                       , 517.0   , -78.0        , 11.0                      , 2.0
K    , Group Stage    , Colombia              , DR Congo              , Arrowhead Stadium      , Kansas City    , USA    , 2026-06-23, 16:00 ET  , CONMEBOL           ,            13.0, Néstor Lorenzo     , CAF                ,            51.0, Sébastien Desabre  , Colombia              , DR Congo              ,    1975.0,    1655.0,            7.0,           54.0,              3.0,              2.0,               0.0,               2.0,                2.0,                1.0,                  10.0,                   5.0,                       7.0,                       3.0, 3.0                        , 2.0                        , 320.0   , -47.0        , 1.0                       , 1.0
K    , Group Stage    , Portugal              , Uzbekistan            , Arrowhead Stadium      , Kansas City    , USA    , 2026-06-23, 13:00 ET  , UEFA               ,             5.0, Roberto Martínez   , AFC                ,            62.0, Srecko Katanec     , Portugal              , Uzbekistan            ,    1984.0,    1727.0,            5.0,           38.0,              3.0,              1.0,               2.0,               1.0,                0.0,                3.0,                   7.0,                   5.0,                       3.0,                       8.0, 4.0                        , -3.0                       , 257.0   , -33.0        , 7.0                       , 2.0
A    , Group Stage    , Czechia               , Mexico                , Estadio Azteca         , Mexico City    , Mexico , 2026-06-24, 21:00 ET  , UEFA               ,            41.0, Ivan Hasek         , CONCACAF           ,            15.0, Javier Aguirre     , Czechia               , Mexico                ,    1726.0,    1860.0,           40.0,           20.0,              2.0,              5.0,               2.0,               0.0,                1.0,                0.0,                  11.0,                  11.0,                       7.0,                       1.0, 4.0                        , 10.0                       , -134.0  , 20.0         , -6.0                      , -3.0
A    , Group Stage    , South Africa          , South Korea           , Estadio Azteca         , Mexico City    , Mexico , 2026-06-24, 21:00 ET  , CAF                ,            60.0, Hugo Broos         , AFC                ,            25.0, Hong Myung-bo      , South Africa          , South Korea           ,    1524.0,    1752.0,           79.0,           33.0,              1.0,              3.0,               2.0,               0.0,                2.0,                2.0,                   3.0,                   8.0,                       5.0,                       3.0, -2.0                       , 5.0                        , -228.0  , 46.0         , -7.0                      , -2.0
B    , Group Stage    , Switzerland           , Canada                , BC Place               , Vancouver      , Canada , 2026-06-24, 18:00 ET  , UEFA               ,            19.0, Murat Yakin        , CONCACAF           ,            30.0, Jesse Marsch       , Switzerland           , Canada                ,    1889.0,    1784.0,           16.0,           25.0,              2.0,              2.0,               3.0,               3.0,                0.0,                0.0,                  10.0,                  10.0,                       4.0,                       2.0, 6.0                        , 8.0                        , 105.0   , -9.0         , -2.0                      , 0.0
C    , Group Stage    , Morocco               , Haiti                 , Gillette Stadium       , Foxborough     , USA    , 2026-06-24, 21:00 ET  , CAF                ,             8.0, Walid Regragui     , CONCACAF           ,            83.0, Marc Collat        , Morocco               , Haiti                 ,    1822.0,    1532.0,           24.0,           77.0,              3.0,              1.0,               2.0,               1.0,                0.0,                3.0,                  13.0,                   6.0,                       3.0,                       5.0, 10.0                       , 1.0                        , 290.0   , -53.0        , 9.0                       , 2.0
C    , Group Stage    , Scotland              , Brazil                , Gillette Stadium       , Foxborough     , USA    , 2026-06-24, 21:00 ET  , UEFA               ,            47.0, Steve Clarke       , CONMEBOL           ,             6.0, Dorival Júnior     , Scotland              , Brazil                ,    1767.0,    1984.0,           29.0,            5.0,              3.0,              3.0,               0.0,               1.0,                2.0,                1.0,                   9.0,                  13.0,                       3.0,                       7.0, 6.0                        , 6.0                        , -217.0  , 24.0         , 0.0                       , 0.0
B    , Group Stage    , Bosnia and Herzegovina, Qatar                 , BMO Field              , Toronto        , Canada , 2026-06-24, 18:00 ET  , UEFA               ,            52.0, Sergej Barbarez    , AFC                ,            35.0, Marquez Lopez      , Bosnia and Herzegovina, Qatar                 ,    1594.0,    1425.0,           66.0,           95.0,              0.0,              0.0,               4.0,               2.0,                1.0,                3.0,                   4.0,                   1.0,                       7.0,                      11.0, -3.0                       , -10.0                      , 169.0   , -29.0        , 7.0                       , 0.0
